"site_name","lat","lon","elev_first_try_m","elev_filled_m","elev_smoothed_m","elev_normalized_0_1"
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
"KanaryagakCamp",61.36,-165.12,NA,NA,NA,0.5
